Freq.	V(n005)
1.00000000000000e-03	(-2.00114005113934e+02dB,1.79995769964007e+02°)
1.02329299228075e-03	(-1.99714005114957e+02dB,1.79995671433811e+02°)
1.04712854805090e-03	(-1.99314005116028e+02dB,1.79995570608553e+02°)
1.07151930523761e-03	(-1.98914005117149e+02dB,1.79995467434772e+02°)
1.09647819614318e-03	(-1.98514005118323e+02dB,1.79995361857766e+02°)
1.12201845430196e-03	(-1.98114005119553e+02dB,1.79995253821555e+02°)
1.14815362149688e-03	(-1.97714005120840e+02dB,1.79995143268858e+02°)
1.17489755493953e-03	(-1.97314005122189e+02dB,1.79995030141057e+02°)
1.20226443461741e-03	(-1.96914005123600e+02dB,1.79994914378172e+02°)
1.23026877081238e-03	(-1.96514005125078e+02dB,1.79994795918822e+02°)
1.25892541179417e-03	(-1.96114005126626e+02dB,1.79994674700200e+02°)
1.28824955169313e-03	(-1.95714005128247e+02dB,1.79994550658034e+02°)
1.31825673855641e-03	(-1.95314005129944e+02dB,1.79994423726554e+02°)
1.34896288259165e-03	(-1.94914005131722e+02dB,1.79994293838460e+02°)
1.38038426460288e-03	(-1.94514005133582e+02dB,1.79994160924885e+02°)
1.41253754462275e-03	(-1.94114005135531e+02dB,1.79994024915354e+02°)
1.44543977074593e-03	(-1.93714005137572e+02dB,1.79993885737754e+02°)
1.47910838816821e-03	(-1.93314005139708e+02dB,1.79993743318292e+02°)
1.51356124843621e-03	(-1.92914005141946e+02dB,1.79993597581454e+02°)
1.54881661891248e-03	(-1.92514005144288e+02dB,1.79993448449970e+02°)
1.58489319246111e-03	(-1.92114005146742e+02dB,1.79993295844767e+02°)
1.62181009735893e-03	(-1.91714005149311e+02dB,1.79993139684932e+02°)
1.65958690743756e-03	(-1.91314005152000e+02dB,1.79992979887667e+02°)
1.69824365246174e-03	(-1.90914005154817e+02dB,1.79992816368246e+02°)
1.73780082874937e-03	(-1.90514005157767e+02dB,1.79992649039969e+02°)
1.77827941003892e-03	(-1.90114005160855e+02dB,1.79992477814115e+02°)
1.81970085860998e-03	(-1.89714005164089e+02dB,1.79992302599899e+02°)
1.86208713666287e-03	(-1.89314005167475e+02dB,1.79992123304420e+02°)
1.90546071796324e-03	(-1.88914005171021e+02dB,1.79991939832613e+02°)
1.94984459975804e-03	(-1.88514005174734e+02dB,1.79991752087198e+02°)
1.99526231496888e-03	(-1.88114005178623e+02dB,1.79991559968632e+02°)
2.04173794466953e-03	(-1.87714005182694e+02dB,1.79991363375049e+02°)
2.08929613085404e-03	(-1.87314005186957e+02dB,1.79991162202213e+02°)
2.13796208950223e-03	(-1.86914005191421e+02dB,1.79990956343461e+02°)
2.18776162394955e-03	(-1.86514005196096e+02dB,1.79990745689642e+02°)
2.23872113856834e-03	(-1.86114005200991e+02dB,1.79990530129065e+02°)
2.29086765276777e-03	(-1.85714005206116e+02dB,1.79990309547438e+02°)
2.34422881531992e-03	(-1.85314005211483e+02dB,1.79990083827806e+02°)
2.39883291901949e-03	(-1.84914005217103e+02dB,1.79989852850487e+02°)
2.45470891568503e-03	(-1.84514005222988e+02dB,1.79989616493017e+02°)
2.51188643150958e-03	(-1.84114005229150e+02dB,1.79989374630073e+02°)
2.57039578276886e-03	(-1.83714005235603e+02dB,1.79989127133419e+02°)
2.63026799189538e-03	(-1.83314005242360e+02dB,1.79988873871827e+02°)
2.69153480392691e-03	(-1.82914005249435e+02dB,1.79988614711015e+02°)
2.75422870333816e-03	(-1.82514005256843e+02dB,1.79988349513573e+02°)
2.81838293126445e-03	(-1.82114005264601e+02dB,1.79988078138890e+02°)
2.88403150312660e-03	(-1.81714005272725e+02dB,1.79987800443078e+02°)
2.95120922666638e-03	(-1.81314005281231e+02dB,1.79987516278901e+02°)
3.01995172040201e-03	(-1.80914005290138e+02dB,1.79987225495690e+02°)
3.09029543251358e-03	(-1.80514005299465e+02dB,1.79986927939268e+02°)
3.16227766016837e-03	(-1.80114005309231e+02dB,1.79986623451868e+02°)
3.23593656929628e-03	(-1.79714005319458e+02dB,1.79986311872046e+02°)
3.31131121482590e-03	(-1.79314005330167e+02dB,1.79985993034598e+02°)
3.38844156139202e-03	(-1.78914005341380e+02dB,1.79985666770473e+02°)
3.46736850452531e-03	(-1.78514005353122e+02dB,1.79985332906681e+02°)
